,ExternalNr,AlphaName,Region,DeliveryTermCode,ItemName,Date,CurrencyCode,TotalQuantity,WeightedPriceSum
0,22500324.0,Northern Pastures,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,74.0,4425.0
3,23500279.0,Meadows Inc,Asia,Inventory,Skimmed Milk Powder,2023-01-01,USD,275.0,3440.0
4,23500288.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,849.0,2970.0
10,23500309.0,Cows Inc,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,2001.0,3075.0
11,23500329.0,Cows Inc,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,988.0,3050.0
19,23500490.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,197.0,2256.8527918781724
22,23500505.0,Cows Inc,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,512.0,2600.0
36,23500553.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,962.0,2243.626819126819
37,23500581.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,607.0,2095.495881383855
38,23500582.0,Meadows Inc,Asia,Inventory,Skimmed Milk Powder,2023-01-01,USD,2000.0,2150.1035
39,23500609.0,Cows Inc,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,320.0,2260.0
40,23500610.0,Cows Inc,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,1500.0,2450.0
43,23500641.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,1126.0,2136.309946714032
48,23500709.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,1845.0,2546.353929539295
49,23500740.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,460.0,2410.0
57,23500786.0,Dairy Plus,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,1497.0,2561.2104208416836
60,23500797.0,Cows Inc,Oceania,Inventory,Skimmed Milk Powder,2023-01-01,USD,675.0,2550.0
8,23500289.0,Cows Inc,North America,CFR,Skimmed Milk Powder,2023-08-31,USD,0.5750000000000001,2748.5
29,23500528.0,Cows Inc,North America,CFR,Skimmed Milk Powder,2023-09-30,USD,19.15,0.0
50,23500744.0,Advantage Plus,Western Europe,FOB,Skimmed Milk Powder,2023-11-30,EUR,275.0,2433.0
58,23500786.0,Northern Pastures,Oceania,EXW,Skimmed Milk Powder,2023-12-14,AUD,374.225,3835.8
